1	Massachusetts Institute of Technology (MIT)	3.00
2	Princeton University	3.33
3	University of Cambridge	4.33
4	Stanford University	5.00
5	University of Oxford	5.67
6	University of California, Berkeley	7.33
7	ETH Zurich	8.33
8	Harvard University	10.67
9	University of California, Los Angeles (UCLA)	12.67
10	Imperial College London	15.33
11	Paris Sciences et Lettres (PSL University)	15.67
12	University of Chicago	16.67
13	Paris-Saclay University	19.33
14	Columbia University	19.33
15	New York University (NYU)	20.33
16	Sorbonne University	21.00
17	California Institute of Technology (Caltech)	22.33
18	University of Toronto	22.33
19	National University of Singapore (NUS)	26.00
20	University of Michigan-Ann Arbor	26.00
21	University of Texas at Austin	26.00
22	Institut Polytechnique de Paris	26.33
23	Yale University	26.67
24	Swiss Federal Institute of Technology Lausanne (EPFL)	27.67
25	Peking University	28.33
26	University of Bonn	31.33
27	Tsinghua University	31.67
28	University of Edinburgh	32.33
29	Cornell University	33.33
30	Georgia Institute of Technology (Georgia Tech)	35.33
31	University of Tokyo	35.67
32	Technical University of Munich	39.00
33	University of British Columbia	40.67
34	University of Illinois at Urbana-Champaign	41.00
35	University of California, San Diego (UCSD)	42.00
36	University of Washington	42.33
37	Fudan University	43.33
38	King Abdulaziz University (KAU)	44.00
39	University College London (UCL)	44.33
40	Brown University	46.00
41	University of Warwick	47.00
42	University of Wisconsin–Madison	48.00
43	Kyoto University	51.67
44	Nanyang Technological University (NTU)	52.33
45	Northwestern University	53.33
46	University of Pennsylvania	55.67
47	University of Maryland	56.33
48	Carnegie Mellon University (CMU)	60.00
49	KTH Royal Institute of Technology	60.33
50	McGill University	61.00
51	Shanghai Jiao Tong University	64.67
52	Texas A&M University	66.67
53	Humboldt University of Berlin	67.00
54	Johns Hopkins University	67.67
55	University of Science and Technology of China	67.67
56	Australian National University	68.67
57	University of Manchester	69.33
58	École Normale Supérieure de Lyon	69.33
59	Duke University	70.67
60	University of Melbourne	71.00
